stname,tractfips,2000 Tract,2010 Tract,MUNICIPALITY,Municipality,City Neighborhood,2006-2010 estimate of obesity
Pennsylvania,42003460001,460001,,KENNEDY  ,Kennedy  ,,0.277756162
Pennsylvania,42003460002,460002,,KENNEDY  ,Kennedy  ,,0.282831081
Pennsylvania,42003461000,461000,,NEVILLE  ,Neville  ,,0.290218333
Pennsylvania,42003462100,462100,,STOWE  ,Stowe  ,,0.317742265
Pennsylvania,42003462600,462600,,STOWE  ,Stowe  ,,0.30465547
Pennsylvania,42003463900,463900,,MCKEES ROCKS ,McKees Rocks ,,0.305836946
Pennsylvania,42003464300,464300,,INGRAM ,Ingram ,,0.284627141
Pennsylvania,42003464400,464400,,MCKEES ROCKS ,McKees Rocks ,,0.36654976
Pennsylvania,42003465600,465600,,CRAFTON ,Crafton ,,0.272410691
Pennsylvania,42003465800,465800,,CRAFTON ,Crafton ,,0.246274112
Pennsylvania,42003468700,468700,,CARNEGIE ,Carnegie ,,0.293042609
Pennsylvania,42003468800,468800,,CARNEGIE ,Carnegie ,,0.293161169
Pennsylvania,42003468900,468900,,CARNEGIE ,Carnegie ,,0.283629399
Pennsylvania,42003469000,469000,,GREENTREE ,Greentree ,,0.25323124
Pennsylvania,42003470300,470300,,SCOTT  ,Scott  ,,0.248136885
Pennsylvania,42003470400,470400,,SCOTT  ,Scott  ,,0.259458042
Pennsylvania,42003470501,470500,470501 & 470502,SCOTT  ,Scott  ,,0.209268322
Pennsylvania,42003470600,470600,,SCOTT  ,Scott  ,,0.282315192
Pennsylvania,42003471000,471000,,HEIDELBERG ,Heidelberg ,,0.283627226
Pennsylvania,42003472100,472100,,DORMNT ,Dormnt ,,0.261751274
Pennsylvania,42003472200,472200,,DORMNT ,Dormnt ,,0.232519538
Pennsylvania,42003472300,472300,,DORMNT ,Dormnt ,,0.240211523
Pennsylvania,42003472400,472400,,DORMNT ,Dormnt ,,0.260487087
Pennsylvania,42003473100,473100,,MT LEBANON  ,MT Lebanon  ,,0.181867304
Pennsylvania,42003473200,473200,,MT LEBANON  ,MT Lebanon  ,,0.188263123
Pennsylvania,42003473300,473300,,MT LEBANON  ,MT Lebanon  ,,0.186378523
Pennsylvania,42003473401,473401,,MT LEBANON  ,MT Lebanon  ,,0.174953973
Pennsylvania,42003473402,473402,,MT LEBANON  ,MT Lebanon  ,,0.188359755
Pennsylvania,42003473500,473500,,MT LEBANON  ,MT Lebanon  ,,0.145972561
Pennsylvania,42003473601,473601,,MT LEBANON  ,MT Lebanon  ,,0.174779251
Pennsylvania,42003473602,473602,,MT LEBANON  ,MT Lebanon  ,,0.205275743
Pennsylvania,42003474101,474101,,UPPER ST. CLAIR  ,Upper St. Clair  ,,0.188035081
Pennsylvania,42003474102,474102,,UPPER ST. CLAIR  ,Upper St. Clair  ,,0.148540756
Pennsylvania,42003474201,474201,,UPPER ST. CLAIR  ,Upper St. Clair  ,,0.181177141
Pennsylvania,42003474202,474202,,UPPER ST. CLAIR  ,Upper St. Clair  ,,0.169378578
Pennsylvania,42003474203,474203,,UPPER ST. CLAIR  ,Upper St. Clair  ,,0.178623345
Pennsylvania,42003475101,475101,,BETHEL PARK MUNI,Bethel Park Muni,,0.253670044
Pennsylvania,42003475102,475102,,BETHEL PARK MUNI,Bethel Park Muni,,0.240148198
Pennsylvania,42003475200,475200,,BETHEL PARK MUNI,Bethel Park Muni,,0.226594614
Pennsylvania,42003475301,475301,,BETHEL PARK MUNI,Bethel Park Muni,,0.26052301
Pennsylvania,42003475303,475303,,BETHEL PARK MUNI,Bethel Park Muni,,0.224079369
Pennsylvania,42003475304,475304,,BETHEL PARK MUNI,Bethel Park Muni,,0.197273985
Pennsylvania,42003475401,475401,,BETHEL PARK MUNI,Bethel Park Muni,,0.26004664
Pennsylvania,42003475402,475402,,BETHEL PARK MUNI,Bethel Park Muni,,0.223226611
Pennsylvania,42003476100,476100,,CASTLE SHANNON ,Castle Shannon ,,0.255666236
Pennsylvania,42003476200,476200,,CASTLE SHANNON ,Castle Shannon ,,0.271406967
Pennsylvania,42003477100,477100,,WHITEHALL ,Whitehall ,,0.247258718
Pennsylvania,42003477200,477200,,WHITEHALL ,Whitehall ,,0.256245906
Pennsylvania,42003477300,477300,,WHITEHALL ,Whitehall ,,0.262484539
Pennsylvania,42003478100,478100,,BRENTWOOD ,Brentwood ,,0.267324744
Pennsylvania,42003478200,478200,,BRENTWOOD ,Brentwood ,,0.267670908
Pennsylvania,42003479000,479000,,BALDWIN  ,Baldwin  ,,0.280389172
Pennsylvania,42003480101,480101,,BALDWIN ,Baldwin ,,0.286839393
Pennsylvania,42003480102,480102,,BALDWIN ,Baldwin ,,0.283085933
Pennsylvania,42003480200,480200,,BALDWIN ,Baldwin ,,0.287059439
Pennsylvania,42003480300,480300,,BALDWIN ,Baldwin ,,0.28046245
Pennsylvania,42003480400,480400,,BALDWIN ,Baldwin ,,0.298826366
Pennsylvania,42003481000,481000,,MOUNT OLIVER ,Mount Oliver ,,0.337537049
Pennsylvania,42003482500,482500,,WEST HOMESTEAD ,West Homestead ,,0.30387295
Pennsylvania,42003483800,483800,,HOMESTEAD ,Homestead ,,0.387744909
Pennsylvania,42003484300,484300,,MUNHALL ,Munhall ,,0.305174675
Pennsylvania,42003484500,484500,,MUNHALL ,Munhall ,,0.288379612
Pennsylvania,42003484600,484600,,MUNHALL ,Munhall ,,0.292934088
Pennsylvania,42003485000,485000,,WHITAKER ,Whitaker ,,0.306421721
Pennsylvania,42003486700,486700,,DUQUESNE  ,Duquesne  ,,0.409565992
Pennsylvania,42003486800,486800,,DUQUESNE  ,Duquesne  ,,0.378409753
Pennsylvania,42003486900,486900,,DUQUESNE  ,Duquesne  ,,0.424884971
Pennsylvania,42003487000,487000,,DRAVOSBURG ,Dravosburg ,,0.302538576
Pennsylvania,42003488100,488100,,WEST MIFFLIN ,West Mifflin ,,0.317716845
Pennsylvania,42003488200,488200,,WEST MIFFLIN ,West Mifflin ,,0.33719754
Pennsylvania,42003488300,488300,,WEST MIFFLIN ,West Mifflin ,,0.281383174
Pennsylvania,42003488400,488400,,WEST MIFFLIN ,West Mifflin ,,0.299858439
Pennsylvania,42003488500,488500,,WEST MIFFLIN ,West Mifflin ,,0.292163631
Pennsylvania,42003488600,488600,,WEST MIFFLIN ,West Mifflin ,,0.306069695
Pennsylvania,42003489001,489001,,PLEASANT HILLS ,Pleasant Hills ,,0.249617439
Pennsylvania,42003489002,489002,,PLEASANT HILLS ,Pleasant Hills ,,0.227286103
Pennsylvania,42003490002,490002,,SOUTH PARK  ,South Park  ,,0.278973254
Pennsylvania,42003490003,490003,,SOUTH PARK  ,South Park  ,,0.273803519
Pennsylvania,42003490004,490004,,SOUTH PARK  ,South Park  ,,0.257085709
Pennsylvania,42003491101,491101,,JEFFERSON HILLS ,Jefferson Hills ,,0.227793929
Pennsylvania,42003491200,491200,,JEFFERSON HILLS ,Jefferson Hills ,,0.292331409
Pennsylvania,42003492700,492700,,CLAIRTON  ,Clairton  ,,0.304808095
Pennsylvania,42003492800,492800,,CLAIRTON  ,Clairton  ,,0.399328437
Pennsylvania,42003492900,492900,,CLAIRTON  ,Clairton  ,,0.313123878
Pennsylvania,42003494000,494000,,ELIZABETH ,Elizabeth ,,0.302875198
Pennsylvania,42003495000,495000,,FORWARD  ,Forward  ,,0.302800944
Pennsylvania,42003496101,496101,,ELIZABETH  ,Elizabeth  ,,0.290509465
Pennsylvania,42003496102,496102,,ELIZABETH  ,Elizabeth  ,,0.303947196
Pennsylvania,42003496200,496200,,ELIZABETH  ,Elizabeth  ,,0.274080908
Pennsylvania,42003497000,497000,,LINCOLN ,Lincoln ,,0.310625678
Pennsylvania,42003498000,498000,,LIBERTY ,Liberty ,,0.300588757
Pennsylvania,42003499300,499300,,GLASSPORT ,Glassport ,,0.299245703
Pennsylvania,42003499400,499400,,GLASSPORT ,Glassport ,,0.30618199
Pennsylvania,42003500300,500300,,PORT VUE ,Port Vue ,,0.303149387
Pennsylvania,42003501000,501000,,VERSAILLES ,Versailles ,,0.293406051
Pennsylvania,42003503002,503002,,WHITE OAK ,White Oak ,,0.266622644
Pennsylvania,42003504100,504100,,NORTH VERSAILLES  ,North Versailles  ,,0.322758854
Pennsylvania,42003507000,507000,,EAST MCKEESPORT ,East McKeesport ,,0.297379341
Pennsylvania,42003508000,508000,,WILMERDING ,Wilmerding ,,0.299365953
Pennsylvania,42003509400,509400,,TURTLE CREEK ,Turtle Creek ,,0.287970651
Pennsylvania,42003510000,510000,,EAST PITTSBURGH ,East Pittsburgh ,,0.337281449
Pennsylvania,42003512000,512000,,NORTH BRADDOCK ,North Braddock ,,0.324396263
Pennsylvania,42003512800,512800,,NORTH BRADDOCK ,North Braddock ,,0.41438381
